Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Tuukka Rask (13880378),Tuukka Rask,13880378,G,8400,MON@BOS 12/01/2019 07:00PM ET,BOS,17.99
G,Jaroslav Halak (13880382),Jaroslav Halak,13880382,G,8400,MON@BOS 12/01/2019 07:00PM ET,BOS,20.16
RW,David Pastrnak (13880166),David Pastrnak,13880166,W/UTIL,8100,MON@BOS 12/01/2019 07:00PM ET,BOS,19.76
C,Connor McDavid (13880098),Connor McDavid,13880098,C/UTIL,8000,EDM@VAN 12/01/2019 10:00PM ET,EDM,18.28
G,Mike Smith (13880379),Mike Smith,13880379,G,7800,EDM@VAN 12/01/2019 10:00PM ET,EDM,12.41
G,Mikko Koskinen (13880383),Mikko Koskinen,13880383,G,7700,EDM@VAN 12/01/2019 10:00PM ET,EDM,15.69
LW,Brad Marchand (13880168),Brad Marchand,13880168,W/UTIL,7600,MON@BOS 12/01/2019 07:00PM ET,BOS,15.79
C,Patrice Bergeron (13880100),Patrice Bergeron,13880100,C/UTIL,7500,MON@BOS 12/01/2019 07:00PM ET,BOS,14.16
LW,Leon Draisaitl (13880170),Leon Draisaitl,13880170,W/UTIL,7500,EDM@VAN 12/01/2019 10:00PM ET,EDM,16.85
G,Jacob Markstrom (13880380),Jacob Markstrom,13880380,G,7500,EDM@VAN 12/01/2019 10:00PM ET,VAN,14.45
G,Thatcher Demko (13880384),Thatcher Demko,13880384,G,7500,EDM@VAN 12/01/2019 10:00PM ET,VAN,12.86
G,Michael DiPietro (13880385),Michael DiPietro,13880385,G,7300,EDM@VAN 12/01/2019 10:00PM ET,VAN,0
G,Zane McIntyre (13880386),Zane McIntyre,13880386,G,7300,EDM@VAN 12/01/2019 10:00PM ET,VAN,0
G,Carey Price (13880381),Carey Price,13880381,G,6900,MON@BOS 12/01/2019 07:00PM ET,MON,11.90
G,Keith Kinkaid (13880387),Keith Kinkaid,13880387,G,6800,MON@BOS 12/01/2019 07:00PM ET,MON,8.1
G,Maxime Lagace (13880388),Maxime Lagace,13880388,G,6500,MON@BOS 12/01/2019 07:00PM ET,BOS,0
G,Dan Vladar (13880389),Dan Vladar,13880389,G,6500,MON@BOS 12/01/2019 07:00PM ET,BOS,0
G,Charlie Lindgren (13880390),Charlie Lindgren,13880390,G,6500,MON@BOS 12/01/2019 07:00PM ET,MON,0
G,Stuart Skinner (13880391),Stuart Skinner,13880391,G,6500,EDM@VAN 12/01/2019 10:00PM ET,EDM,0
D,Shea Weber (13880280),Shea Weber,13880280,D/UTIL,6200,MON@BOS 12/01/2019 07:00PM ET,MON,13.69
RW,Brendan Gallagher (13880172),Brendan Gallagher,13880172,W/UTIL,6000,MON@BOS 12/01/2019 07:00PM ET,MON,12.87
D,Oscar Klefbom (13880282),Oscar Klefbom,13880282,D/UTIL,6000,EDM@VAN 12/01/2019 10:00PM ET,EDM,12.86
C,David Krejci (13880102),David Krejci,13880102,C/UTIL,5900,MON@BOS 12/01/2019 07:00PM ET,BOS,9.10
D,Torey Krug (13880284),Torey Krug,13880284,D/UTIL,5800,MON@BOS 12/01/2019 07:00PM ET,BOS,10.3
C,Elias Pettersson (13880104),Elias Pettersson,13880104,C/UTIL,5700,EDM@VAN 12/01/2019 10:00PM ET,VAN,12.73
LW,Tomas Tatar (13880174),Tomas Tatar,13880174,W/UTIL,5500,MON@BOS 12/01/2019 07:00PM ET,MON,10.45
RW,Brock Boeser (13880176),Brock Boeser,13880176,W/UTIL,5200,EDM@VAN 12/01/2019 10:00PM ET,VAN,11.63
