"C1","C2","W1","W2","W3","D1","D2","G","Util"
13880110,13880098,13880194,13880170,13880202,13880334,13880296,13880382,13880166
13880098,13880110,13880204,13880176,13880194,13880334,13880280,13880382,13880166
13880098,13880110,13880176,13880170,13880178,13880296,13880334,13880382,13880286
13880122,13880104,13880170,13880178,13880194,13880334,13880280,13880382,13880166
13880098,13880110,13880194,13880178,13880170,13880334,13880280,13880382,13880292
13880110,13880098,13880178,13880170,13880204,13880334,13880310,13880382,13880166
13880110,13880104,13880186,13880176,13880178,13880334,13880280,13880382,13880166
13880098,13880118,13880176,13880170,13880194,13880280,13880334,13880382,13880286
13880098,13880104,13880194,13880170,13880178,13880290,13880334,13880382,13880286
13880110,13880098,13880202,13880186,13880170,13880280,13880334,13880382,13880286
13880098,13880104,13880176,13880194,13880178,13880334,13880304,13880382,13880166
13880110,13880098,13880178,13880194,13880202,13880334,13880280,13880378,13880166
13880098,13880122,13880176,13880170,13880178,13880334,13880348,13880382,13880166
13880110,13880104,13880170,13880176,13880194,13880280,13880334,13880382,13880172
13880098,13880118,13880170,13880186,13880194,13880334,13880290,13880382,13880166
13880098,13880118,13880178,13880202,13880176,13880334,13880280,13880382,13880166
13880122,13880098,13880202,13880204,13880170,13880280,13880334,13880382,13880166
13880098,13880122,13880170,13880178,13880194,13880334,13880296,13880378,13880166
13880110,13880118,13880176,13880170,13880194,13880334,13880280,13880378,13880166
13880110,13880104,13880178,13880170,13880194,13880290,13880334,13880378,13880166
13880104,13880110,13880178,13880170,13880194,13880296,13880280,13880382,13880286
13880110,13880104,13880176,13880202,13880170,13880334,13880290,13880382,13880166
13880110,13880098,13880170,13880176,13880242,13880334,13880306,13880382,13880166
13880118,13880110,13880170,13880178,13880194,13880304,13880280,13880382,13880166
13880110,13880122,13880170,13880176,13880182,13880280,13880334,13880382,13880166
13880098,13880118,13880170,13880204,13880176,13880296,13880334,13880382,13880166
13880110,13880098,13880178,13880194,13880186,13880334,13880288,13880382,13880166
13880110,13880098,13880194,13880178,13880176,13880296,13880306,13880382,13880166
13880098,13880110,13880178,13880186,13880176,13880296,13880334,13880378,13880166
13880104,13880110,13880194,13880176,13880170,13880310,13880296,13880382,13880166
13880098,13880104,13880202,13880170,13880194,13880280,13880334,13880382,13880180
13880098,13880110,13880186,13880194,13880170,13880348,13880334,13880378,13880166
13880110,13880098,13880170,13880194,13880186,13880334,13880304,13880382,13880168
13880104,13880098,13880194,13880204,13880170,13880348,13880334,13880382,13880166
13880118,13880104,13880176,13880178,13880170,13880288,13880334,13880382,13880166
13880122,13880110,13880186,13880170,13880194,13880296,13880280,13880382,13880166
13880098,13880104,13880170,13880202,13880194,13880310,13880334,13880378,13880166
13880110,13880122,13880186,13880178,13880170,13880334,13880280,13880378,13880166
13880104,13880098,13880176,13880194,13880170,13880296,13880334,13880378,13880286
13880104,13880098,13880170,13880194,13880176,13880310,13880334,13880382,13880282
13880098,13880104,13880186,13880208,13880194,13880280,13880334,13880382,13880166
13880110,13880098,13880170,13880194,13880176,13880304,13880290,13880382,13880286
13880098,13880104,13880186,13880170,13880194,13880296,13880334,13880382,13880172
13880104,13880098,13880186,13880170,13880176,13880334,13880304,13880382,13880286
13880098,13880110,13880170,13880202,13880176,13880310,13880334,13880382,13880168
13880118,13880110,13880170,13880176,13880178,13880290,13880296,13880382,13880166
13880110,13880098,13880170,13880176,13880178,13880280,13880334,13880378,13880216
13880108,13880110,13880208,13880170,13880178,13880280,13880334,13880382,13880166
13880132,13880098,13880186,13880178,13880170,13880296,13880334,13880382,13880166
13880120,13880098,13880170,13880242,13880194,13880280,13880334,13880382,13880166
