"","ID","Name","Salary","Position","Points","C1","C2","W1","W2","W3","D1","D2","G","Util","Team","GameInfo"
"1",13880122,"Adam Gaudette",2900,"C",7.04,1,1,0,0,0,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"2",13880316,"Adam Larsson",2600,"D",3.95,0,0,0,0,0,1,1,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"3",13880208,"Alex Chiasson",2900,"LW",4.53,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"4",13880286,"Alexander Edler",5000,"D",12.65,0,0,0,0,0,1,1,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"5",13880216,"Anders Bjork",2600,"LW",5.68,0,0,1,1,1,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"6",13880232,"Antoine Roussel",2500,"LW",0,0,0,1,1,1,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"7",13880236,"Anton Blidh",2500,"LW",0,0,0,1,1,1,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"8",13880196,"Artturi Lehkonen",3600,"LW",7.2,0,0,1,1,1,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"9",13880346,"Ashton Sautner",2500,"D",1.5,0,0,0,0,0,1,1,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"10",13880296,"Ben Chiarot",3800,"D",8.22,0,0,0,0,0,1,1,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"11",13880110,"Bo Horvat",4700,"C",12.15,1,1,0,0,0,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"12",13880144,"Bogdan Yakimov",2500,"C",0,1,1,0,0,0,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"13",13880254,"Brad Malone",2500,"LW",0,0,0,1,1,1,0,0,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"14",13880168,"Brad Marchand",7600,"LW",15.79,0,0,1,1,1,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"15",13880306,"Brandon Carlo",3100,"D",5.85,0,0,0,0,0,1,1,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"16",13880330,"Brandon Manning",2500,"D",3.14,0,0,0,0,0,1,1,0,1,"EDM","EDM@VAN 12/01/2019 10:00PM ET"
"17",13880118,"Brandon Sutter",3200,"C",7.36,1,1,0,0,0,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"18",13880172,"Brendan Gallagher",6000,"RW",12.87,0,0,1,1,1,0,0,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"19",13880138,"Brendan Gaunce",2500,"C",5,1,1,0,0,0,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"20",13880326,"Brett Kulak",2500,"D",4.35,0,0,0,0,0,1,1,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
"21",13880246,"Brett Ritchie",2500,"RW",4.09,0,0,1,1,1,0,0,0,1,"BOS","MON@BOS 12/01/2019 07:00PM ET"
"22",13880176,"Brock Boeser",5200,"RW",11.63,0,0,1,1,1,0,0,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"23",13880342,"Brogan Rafferty",2500,"D",0,0,0,0,0,0,1,1,0,1,"VAN","EDM@VAN 12/01/2019 10:00PM ET"
"24",13880336,"Cale Fleury",2500,"D",4.44,0,0,0,0,0,1,1,0,1,"MON","MON@BOS 12/01/2019 07:00PM ET"
